subid,lesion_index,split,case_type,lesion_dice,prl_dice,tp,fp,tn,fn,sensitivity,specificity,fpr,fnr,precision,npv,accuracy,f1,Notes
1293,1,testing,PRL,0.8701631555916735,0.3365282215122471,158,304,6960,131,0.5467128027681661,0.9581497797356828,0.04185022026431718,0.4532871972318339,0.341991341991342,0.9815258778733607,0.9424069905997616,0.42077230359520645,
1074,3,testing,PRL,0.722753346080306,0.5411140583554377,102,52,189,30,0.7727272727272727,0.7842323651452282,0.2157676348547718,0.22727272727272727,0.6623376623376623,0.863013698630137,0.7801608579088471,0.7132867132867133,
1080,3,testing,PRL,0.7515151515151515,0.5986696230598669,135,87,248,16,0.8940397350993378,0.7402985074626866,0.25970149253731345,0.10596026490066225,0.6081081081081081,0.9393939393939394,0.7880658436213992,0.7238605898123324,
2131,1,testing,PRL,0.8733754177497215,0.7262798634812286,532,177,1176,45,0.9220103986135182,0.8691796008869179,0.13082039911308205,0.0779896013864818,0.7503526093088858,0.9631449631449631,0.8849740932642487,0.8273716951788493,
1011,7,testing,PRL,0.7660256410256411,0.5956678700361011,165,93,239,7,0.9593023255813954,0.7198795180722891,0.28012048192771083,0.040697674418604654,0.6395348837209303,0.9715447154471545,0.8015873015873016,0.7674418604651163,
1529,5,testing,PRL,0.7753510140405616,0.6780045351473923,299,53,497,98,0.7531486146095718,0.9036363636363637,0.09636363636363636,0.24685138539042822,0.8494318181818182,0.8352941176470589,0.8405491024287223,0.7983978638184246,
2041,1,testing,PRL,0.8181086519114689,0.584571154767609,610,158,2033,174,0.7780612244897959,0.927886809675947,0.07211319032405294,0.22193877551020408,0.7942708333333334,0.9211599456275487,0.8884033613445378,0.7860824742268042,
1348,1,testing,PRL,0.8156066274719401,0.6238532110091743,238,156,763,34,0.875,0.8302502720348205,0.16974972796517954,0.125,0.6040609137055838,0.9573400250941029,0.8404701931150294,0.7147147147147148,
1529,11,testing,PRL,0.6983050847457627,0.7549019607843137,77,3,103,39,0.6637931034482759,0.9716981132075472,0.02830188679245283,0.33620689655172414,0.9625,0.7253521126760564,0.8108108108108109,0.7857142857142857,
1529,20,testing,Lesion,0.7044025157232704,,0,0,56,0,,1.0,0.0,,,1.0,1.0,,
1293,35,testing,Lesion,0.8421052631578947,,0,0,32,0,,1.0,0.0,,,1.0,1.0,,
1050,95,testing,Lesion,0.30952380952380953,,0,0,13,0,,1.0,0.0,,,1.0,1.0,,
1125,38,testing,Lesion,0.6286764705882353,,0,0,171,0,,1.0,0.0,,,1.0,1.0,,
1038,2,testing,Lesion,0.7773605896259212,0.0,0,76,5590,0,,0.9865866572537946,0.013413342746205436,,0.0,1.0,0.9865866572537946,,
1215,17,testing,Lesion,0.7733333333333333,,0,0,29,0,,1.0,0.0,,,1.0,1.0,,
1010,24,testing,Lesion,0.772093023255814,,0,0,83,0,,1.0,0.0,,,1.0,1.0,,
1348,2,testing,Lesion,0.7618014107433533,0.0,0,55,702,0,,0.9273447820343461,0.0726552179656539,,0.0,1.0,0.9273447820343461,,
2041,40,testing,Lesion,0.16,,0,0,2,0,,1.0,0.0,,,1.0,1.0,,
1011,32,testing,Lesion,0.5,,0,0,1,0,,1.0,0.0,,,1.0,1.0,,
1529,38,testing,Lesion,0.8,,0,0,2,0,,1.0,0.0,,,1.0,1.0,,
1293,14,testing,Lesion,0.31866750471401634,0.0,0,3,507,0,,0.9941176470588236,0.0058823529411764705,,0.0,1.0,0.9941176470588236,,
1125,53,testing,Lesion,0.9088524590163934,,0,0,693,0,,1.0,0.0,,,1.0,1.0,,
1038,80,testing,Lesion,0.08333333333333333,,0,0,1,0,,1.0,0.0,,,1.0,1.0,,
1348,28,testing,Lesion,0.8,,0,0,8,0,,1.0,0.0,,,1.0,1.0,,
1044,43,testing,Lesion,0.6086956521739131,,0,0,7,0,,1.0,0.0,,,1.0,1.0,,
1050,90,testing,Lesion,0.6666666666666666,,0,0,1,0,,1.0,0.0,,,1.0,1.0,,
1298,8,testing,Lesion,0.7160493827160493,,0,0,174,0,,1.0,0.0,,,1.0,1.0,,
1011,16,testing,Lesion,0.7705382436260623,0.0,0,8,136,0,,0.9444444444444444,0.05555555555555555,,0.0,1.0,0.9444444444444444,,
1038,30,testing,Lesion,0.5263157894736842,,0,0,5,0,,1.0,0.0,,,1.0,1.0,,
1080,44,testing,Lesion,0.34782608695652173,,0,0,4,0,,1.0,0.0,,,1.0,1.0,,
1033,14,testing,Lesion,0.7619047619047619,,0,0,16,0,,1.0,0.0,,,1.0,1.0,,
1529,17,testing,Lesion,0.7335423197492164,,0,0,117,0,,1.0,0.0,,,1.0,1.0,,
1124,41,testing,Lesion,0.810126582278481,,0,0,160,0,,1.0,0.0,,,1.0,1.0,,
1044,71,testing,Lesion,0.8747514910536779,,0,0,220,0,,1.0,0.0,,,1.0,1.0,,
1529,18,testing,Lesion,0.88,,0,0,88,0,,1.0,0.0,,,1.0,1.0,,
1125,66,testing,Lesion,0.8794007490636704,,0,0,587,0,,1.0,0.0,,,1.0,1.0,,
